name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
JAKUB,14497,18612,18018,16429,16431,15802,15756,16118,15843,14736,13764,12661,11989,10870,10229,9204,9307,9316,8908,7966,266456
JULIA,10074,12347,11873,12151,13773,14232,14322,15440,17399,16010,15445,13814,14287,11286,9661,9207,9127,9692,8468,8189,246797
KACPER,8898,8569,10048,11855,12802,12513,12514,12196,11656,10346,8862,8003,9219,8654,7922,6867,6282,6049,5437,4889,183581
WIKTORIA,10144,11172,11351,11885,11207,11580,11666,11589,11010,9365,7835,7288,6922,5996,5526,4979,4497,4673,4248,4125,167058
ZUZANNA,3297,5380,6211,5889,6495,6589,7384,9131,10710,10615,10237,9283,8932,9675,9627,9568,9179,9375,8866,8456,164899
SZYMON (M),5486,4971,5285,5483,5705,6166,7356,7959,8414,8986,10395,9345,8139,7140,6542,7777,8461,8240,8234,7177,147261
NATALIA,11511,11182,9983,9026,9173,9694,8731,8693,8622,7659,7045,6396,5924,5585,5719,5095,5023,4825,3920,3277,147083
ALEKSANDRA,10940,10381,9179,8650,9031,8696,8349,7669,7142,6879,7124,6520,6055,6014,6294,5807,5528,5423,4428,4025,144134
MATEUSZ,11454,9899,10177,10313,10549,9939,8970,8660,9050,8472,7376,6482,5512,4930,4270,3843,3549,3471,2831,2310,142057
MAJA,1275,1748,1902,2398,3390,4585,5519,6565,9720,11729,12312,11160,10349,9320,8894,8538,8720,8291,8033,7435,141883
MICHAŁ,8498,8529,8362,7526,6930,6691,6589,6846,7226,7288,7620,6521,6092,5566,5289,5065,4959,5004,4586,4165,129352
OLIWIA,3269,4118,4201,6639,8475,8581,9682,9256,9526,8597,7184,6420,6294,5470,5201,4895,4980,5262,5058,4858,127966
FILIP,3337,3376,3485,3663,4179,4377,4687,5595,7363,8582,8663,8456,8815,8101,7688,7235,7046,7150,6407,6169,124374
LENA,122,145,194,259,348,624,1514,2121,3210,5814,8618,10221,12064,11440,10638,9291,8768,8538,7650,6815,108394
AMELIA,115,165,1930,2911,3275,4809,5321,7247,7498,7976,7604,6975,6776,6484,6326,7032,7005,6551,5310,4732,106042
JAN,2259,2309,2323,2488,2643,3246,3233,3561,4140,4595,5117,5491,6632,7043,7398,7607,7865,8712,8457,8032,103151
BARTOSZ,4544,4562,4599,4605,5141,5536,6970,7660,7507,7204,6670,6014,5352,4657,4163,3685,3549,3259,2766,2464,100907
ZOFIA,916,1259,1469,1536,1784,2477,2829,3656,4382,5190,5258,5075,5602,6700,7229,7652,7967,8585,7928,7737,95231
DAWID,7063,7203,7714,6312,5887,5498,5340,5633,5659,5303,5044,4253,3951,3381,3293,2912,2778,2588,2181,2228,94221
PIOTR,5608,5444,4828,4507,4575,4656,4921,5227,5372,5447,5191,4878,4626,4429,4399,3977,3833,4061,3663,3085,92727
MIKOŁAJ,3083,3260,3181,3144,3540,3906,4291,4264,4364,4197,4768,4276,4424,4268,5203,5655,6530,6576,6008,5786,90724
ANTONI,327,387,566,836,995,1448,1849,2490,3048,3692,4137,4544,5890,6704,7761,8332,9518,9989,9329,8550,90392
ADAM,3267,3721,3051,2932,2924,2997,3410,3814,4164,4737,5590,5656,5200,5029,5262,5405,5445,5476,5168,4899,88147
WERONIKA,9680,7415,6480,6171,6011,5735,5282,5077,5031,4470,3752,3125,2759,2289,1994,1849,1737,1711,1596,1492,83656
HANNA,407,449,570,876,1096,1552,2017,2844,3335,3970,4299,4762,5335,6270,7018,7307,8272,8126,7723,7382,83610
MARTYNA,3419,4648,5935,5661,5767,5936,5960,5814,5244,5041,4704,3959,3411,2970,2899,2556,2721,2423,2139,1838,83045
WOJCIECH,2640,2712,2461,2161,2026,2465,2608,2812,3105,3623,5511,5101,5123,5153,5262,5566,6000,6346,5862,5468,82005
ALICJA,2179,2640,2702,2669,2669,2610,2947,3194,3404,3416,4240,4417,4437,4870,5345,5759,5900,6156,5759,5229,80542
WIKTOR,1707,2406,2811,3449,3510,3588,3994,4740,5507,5525,5316,4641,4322,4024,4056,4061,4053,4238,3908,3558,79414
ANNA,5104,4426,3933,3552,3497,3810,4989,4714,4626,4362,4174,3937,3853,3747,3572,3360,3314,3329,2966,2516,77781
ALEKSANDER,1340,1270,1295,1579,1768,1925,2201,2439,3123,3523,4226,4341,4569,4491,5306,5800,6451,6968,7324,7432,77371
KAROLINA,7886,6820,5908,5333,4673,5406,4733,4352,4017,3889,3513,3020,2787,2231,2183,1966,1893,1883,1622,1409,75524
PATRYK,7743,6800,5734,5327,4845,4418,4370,4168,4625,4247,3764,3216,2706,2256,1886,1629,1565,1586,1119,940,72944
EMILIA,1503,1466,2676,2860,2942,3329,3613,3781,4233,4409,4437,4197,4154,3799,4042,4074,4384,4473,3995,3871,72238
MACIEJ,4596,4375,3907,4245,4758,4811,4624,4568,4661,4432,4219,3555,3335,2939,2672,2333,2378,2199,1889,1593,72089
KAMIL,6842,6115,5078,4839,5252,5270,4604,3990,3806,3495,3017,2736,2536,2178,2020,1711,1396,1482,1314,1122,68803
MARIA,1710,1737,1762,1885,1887,2340,2779,3248,3468,3284,3746,3863,3904,3927,4100,4154,4627,5521,5442,5139,68523
NIKOLA (K),1322,1973,2097,2444,2692,3423,3743,4478,5571,5484,4796,4126,3899,4263,4313,3638,3098,2609,2053,1814,67836
DOMINIK,4488,4369,4245,3825,3891,3639,3833,3915,3920,3979,3736,3202,3153,2720,2565,2381,2325,2379,2002,1852,66419
IGOR,693,972,1149,2119,2806,3067,3153,3711,4265,4339,4325,4456,4411,4043,4123,3878,3539,3857,3401,3362,65669
FRANCISZEK,248,291,387,498,608,1026,1312,1728,2232,2984,3389,3355,3629,4715,5496,5765,6699,7065,7094,6805,65326
PAWEŁ,5109,4487,3747,3533,3801,4543,3999,3998,3866,3835,3487,2991,2651,2367,2233,1902,1729,1709,1545,1355,62887
GABRIELA,2300,2712,2970,2880,2830,2774,2790,3113,3516,3787,3822,3606,3480,3064,3054,2978,2982,2977,2933,2717,61285
MARCEL,965,890,1015,1370,1438,1552,1847,2306,3075,3224,3411,3402,3793,3923,4196,4233,4534,4739,4661,4368,58942
MAGDALENA,4845,3908,3430,3054,3181,3505,3487,3228,2981,4069,3544,2899,2936,2495,2303,1952,1765,1737,1604,1255,58178
OSKAR,1785,1755,1805,2272,2462,2968,3414,3539,3604,3928,3561,3197,3113,2974,2895,2739,2557,2745,2514,2398,56225
PATRYCJA,5841,5831,4948,4744,4289,3808,3731,3345,3453,2674,2244,1967,1638,1442,1209,1001,854,758,638,545,54960
KAROL,3084,2286,2143,1830,1724,3902,3812,3225,3228,3117,2871,3638,3107,2735,2858,2647,2397,2309,2028,1923,54864
KLAUDIA,6992,6693,5826,4552,4213,3599,3281,3137,2823,2564,2014,1623,1408,1184,1133,876,796,830,711,527,54782
KRZYSZTOF,3599,2990,2732,2466,2461,2282,2523,2926,3301,3185,3138,2785,2596,2364,2297,2130,1946,2222,2142,2031,52116
PAULINA,6245,5085,4800,3982,3399,2874,2939,2677,2772,2781,2396,2048,1749,1459,1428,1208,1125,1044,976,764,51751
TOMASZ,3353,2911,2309,2458,2127,2196,2795,2815,2896,2938,3063,2749,2674,2649,2567,2288,2359,2348,2039,1875,51409
MAKSYMILIAN,769,985,1666,1792,1924,2070,2604,2849,2967,2959,2972,2745,2654,2740,2977,2875,2900,3123,2877,2955,49403
KINGA,3005,3138,3105,3257,3527,3766,3773,3368,3214,2909,2192,1744,1684,1436,1435,1310,1233,1231,1137,1050,47514
HUBERT,2861,2658,2512,2425,2347,2643,2450,2301,2785,2885,2728,2386,2701,2375,2110,1950,1725,1955,1700,1682,47179
ADRIAN,4302,3483,3795,3451,2945,2700,2751,2987,3004,2639,2290,2035,1810,1403,1265,1149,1127,1003,957,925,46021
OLIWIER,117,185,277,714,1503,2261,2345,2648,2887,3195,3020,2694,2872,3039,2774,2779,2909,2980,2864,3202,45265
BARTŁOMIEJ,3178,2699,2762,2978,2876,2906,2712,2700,2991,2664,2466,2257,1989,1843,1713,1434,1262,1373,1133,1015,44951
KATARZYNA,5793,4907,3817,3935,3115,2871,2459,2354,2125,1963,1866,1605,1370,1241,1168,967,946,877,786,702,44867
LAURA,1069,996,941,1135,1297,1301,1219,1436,1729,2198,2455,2730,2705,2512,2651,2965,3483,4140,3928,3938,44828
