name,sex,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALEKSANDRA,W,10940,10381,9179,8650,9031,8696,8349,7669,7142,6879,7124,6520,6055,6014,6294,5807,5528,5423,,,
ALICJA,W,,,,,,,,,,,,,,,,5759,5900,6156,5759,5229,5139
AMELIA,W,,,,,,4809,5321,7247,7498,7976,7604,6975,6776,6484,6326,7032,7005,6551,5310,4732,
HANNA,W,,,,,,,,,,,,,,6270,7018,7307,8272,8126,7723,7382,6658
JULIA,W,10074,12347,11873,12151,13773,14232,14322,15440,17399,16010,15445,13814,14287,11286,9661,9207,9127,9692,8468,8189,7351
KAROLINA,W,7886,6820,5908,5333,4673,5406,,,,,,,,,,,,,,,
KATARZYNA,W,5793,,,,,,,,,,,,,,,,,,,,
KLAUDIA,W,6992,6693,5826,,,,,,,,,,,,,,,,,,
LAURA,W,,,,,,,,,,,,,,,,,,,,,4954
LENA,W,,,,,,,,,,5814,8618,10221,12064,11440,10638,9291,8768,8538,7650,6815,5446
MAJA,W,,,,,,,5519,6565,9720,11729,12312,11160,10349,9320,8894,8538,8720,8291,8033,7435,6508
MARIA,W,,,,,,,,,,,,,,,,,,5521,5442,5139,4650
MARTYNA,W,,,5935,5661,5767,5936,5960,5814,5244,,,,,,,,,,,,
NATALIA,W,11511,11182,9983,9026,9173,9694,8731,8693,8622,7659,7045,6396,5924,5585,5719,5095,5023,,,,
NIKOLA,W,,,,,,,,,5571,5484,,,,,,,,,,,
OLIWIA,W,,,,6639,8475,8581,9682,9256,9526,8597,7184,6420,6294,,,,,,5058,4858,4979
PATRYCJA,W,5841,5831,4948,4744,4289,,,,,,,,,,,,,,,,
PAULINA,W,6245,5085,,,,,,,,,,,,,,,,,,,
WERONIKA,W,9680,7415,6480,6171,6011,5735,5282,5077,,,,,,,,,,,,,
WIKTORIA,W,10144,11172,11351,11885,11207,11580,11666,11589,11010,9365,7835,7288,6922,5996,5526,,,,,,
ZOFIA,W,,,,,,,,,,,5258,5075,5602,6700,7229,7652,7967,8585,7928,7737,7073
ZUZANNA,W,,5380,6211,5889,6495,6589,7384,9131,10710,10615,10237,9283,8932,9675,9627,9568,9179,9375,8866,8456,7351
